NN,XX,YY
SALPO,-78.6167,-8
LAREDO,-78.85,-8.08333
JULCAN,-78.5,-8.05
TRUJILLO,-79.1,-8.08333
TRUJILLO,-79,-8
TRUJILLO,-79.0527,-8.10127
UNIVERSIDAD NACIONAL DE TRUJILLO,-79.0333,-8.1
CASA GRANDE,-79.1833,-7.75
PUERTO CHICAMA,-79.4364,-7.69881
CHICDEN,-78.3667,-7.46667
SAN BENITO,-78.9333,-7.38333
CAMPODEN,-78.5167,-7.51667
COSPAN,-78.5333,-7.43333
COSPAN,-78.3833,-7.43333
HUAYCOT,-78.3833,-7.41667
SALAGUAL,-78.4667,-7.45
TURBINA,-78.3591,-7.45647
SAYAPULLO,-78.45,-7.41667
SUNCHUBAMBA,-78.3833,-7.48333
SAN BENITO,-78.9333,-7.43333
CASCAS,-78.8167,-7.48333
TAMBO,-78.7,-7.56667
CASAIS,-78.4167,-7.5
LA ROSA,-78.4667,-7.58333
CHICLIN,-79.15,-7.83333
CAPACHIQUE,-78.3167,-7.85
COINA,-78.3667,-7.8
CALLANCAS,-78.4773,-7.76739
CARTAVIO,-79.2167,-7.88333
LA ESPERANZA,-81.0606,-4.91778
ARDILLA (SOLANA BAJA),-80.4333,-4.51667
LOS ENCUENTROS,-80.2833,-4.43333
CHILACO,-80.4486,-4.67798
ALAMOR,-80.387,-4.48869
MALLARES,-80.7147,-4.85711
EL CIRUELO,-80.15,-4.3
LA TINA,-79.95,-4.4
PICO DE LORO,-79.8667,-4.53333
SUYO,-80,-4.53333
PUENTE INTERNACIONAL,-79.9684,-4.39985
ANIA CABUYAL,-79.4833,-4.85
AUL (C. MEMBRILLO),-79.7,-4.55
AYABACA,-79.7167,-4.63333
ESPINDOLA,-79.5,-4.63333
HUARA DE VERAS,-79.5667,-4.58333
LAS ARREBIATADAS,-79.4667,-4.75
OLLEROS,-79.65,-4.7
SAUSAL DE CULUCAN,-79.7617,-4.74778
TACALPO,-79.6,-4.65
TAPAL,-79.55,-4.76667
TIPULCO,-79.5667,-4.7
VADO GRANDE,-79.611,-4.47386
LAGUNA SECA,-79.4833,-4.88333
NACIENTES DE ARANZA,-79.4727,-4.91055
JILILI,-79.8,-4.58333
SICCHEZ,-79.7667,-4.56667
PAIMAS,-79.95,-4.61667
TOMA DE ZAMBA,-79.9,-4.66667
PARAJE GRANDE,-79.9,-4.61667
MONTERO,-79.8333,-4.63333
LAS LOMAS,-80.2778,-4.62607
LAS LOMAS,-80.2438,-4.60346
PARTIDOR,-80.25,-4.63333
REPRESA SAN LORENZO,-80.2167,-4.66667
LANCONES,-80.5472,-4.64278
ALIVIADERO,-80.5167,-4.71667
CHILACO,-80.5,-4.7
SOMATE,-80.5167,-4.75
ARRENDAMIENTOS,-79.9,-4.83333
ARANZA,-79.9833,-4.85
LAGARTERA,-79.9667,-4.73333
SAPILLICA,-79.9833,-4.78333
NANGAY MATALACAS,-79.7667,-4.86667
PACAYPAMPA,-79.6628,-4.99306
SAN JUAN DE LOS ALISOS,-79.5333,-4.96667
TALANEO,-79.55,-5.05
SAN JACINTO,-80.8667,-4.85
ARENALES,-79.85,-4.91667
FRIAS,-79.85,-4.93333
LAS PIRCAS,-79.8,-4.98333
PUENTE SULLANA,-80.687,-4.87599
EL ALTO,-81.2239,-4.2725
LOBITOS,-81.2667,-4.45
TALARA,-81.2667,-4.56667
TALARA,-81.25,-4.56667
NEGRITOS,-81.3,-4.65
PANANGA,-80.8833,-4.55
EL PATO,-81.2333,-4.53333
CAMPAMENTO SEDE,-80.4333,-3.55
PUERTO PIZARRO,-80.4667,-3.51468
LOS CEDROS,-80.5021,-3.5179
HITO BOCANA,-80.1833,-3.91667
CONDOR FLORES,-80.148,-3.88517
CABO INGA,-80.4333,-3.96667
CAPITAN HOYLE,-80.4833,-4.06667
RICA PLAYA,-80.5009,-3.80481
EL TIGRE,-80.4589,-3.76399
CHACRITAS,-80.3667,-3.7
QUEBRADA ANGOSTURA,-80.4,-3.76667
HUASIMO,-80.5295,-4
HUASIMO,-80.5295,-4.00551
LOS PINOS,-80.641,-3.84299
CANAVERAL,-80.65,-3.93333
CHERRELIQUE,-80.6833,-4.03333
LA CRUZ,-80.5388,-3.62599
PAPAYAL,-80.2333,-3.56667
EL CAUCHO,-80.2667,-3.81667
EL CAUCHO,-80.2667,-3.81667
HITO COTRINA,-80.1667,-3.81667
MATAPALO,-80.2167,-3.7
MATAPALO,-80.2,-3.66667
EL SALTO,-80.3167,-3.43333
ZARUMILLA,-80.2833,-3.5
ZARUMILLA,-80.2833,-3.5
TUMBES,-80.3833,-3.55
TUMBES COLOMA,-80.3833,-3.55
CIA.TUMPIS,-80.3222,-3.51667
HACIENDA FERNANDEZ,-80.95,-4.16667
NEGRITOS,-80.8833,-4.05
BORJA,-77.55,-4.46667
BARRANCA,-76.7,-4.83333
SAN LORENZO,-76.7,-4.81667
SARGENTO PUCO,-77.6,-3.21667
RIMACHI,-76.65,-4.41667
SOPLIN,-76.35,-3.4
SILVA MERINO,-74.2323,-4.68602
PITHECIA,-74.5,-4.58333
SANTA RITA DE CASTILLA,-74.3667,-4.6
FILABOTON,-76.6928,-7.46435
CAMPANILLA,-76.6833,-7.43333
CAMPANILLA,-76.6833,-7.43333
EL VALLE,-76.7833,-7.56667
BALZAYACU,-76.743,-7.86613
SION,-76.7777,-7.75367
TANANTA,-76.6074,-8.12226
ONGON,-77.0122,-8.24206
PUERTO PIZANA,-76.5674,-8.10842
TOCACHE,-76.5167,-8.18333
VIVEROS DE TOCACHE,-76.55,-8.2
INSTITUTO SUPERIOR TECNOLOGICO TOC*,-76.4194,-8.22258
SANTA LUCIA,-76.4722,-8.26219
AJI,-76.6798,-8.29449
OLLATES,-76.4167,-8.41667
PALMAWASI,-76.4167,-8.41667
PALMAWASI,-76.4167,-8.41667
UCHIZA,-76.4,-8.43333
YONTE,-76.3833,-8.41667
UCHIZA,-76.4586,-8.50259
AUCAYACU,-76.0333,-8.93333
CACHICOTO,-76.35,-9.18333
AUCAYACU,-76.0832,-8.95125
LA MORADA,-76.2561,-8.79301
TINGO MARIA,-76.0167,-9.3
TINGO MARIA QUIIONES,-75.9878,-9.29194
TINGO MARIA,-76.032,-9.16652
PLANTACION MARGARITA,-75.8333,-9.11667
PLANTACION PORVENIR,-75.8333,-9.11667
RIO AZUL,-75.85,-9.11667
LA DIVISORIA,-75.8092,-9.16712
TULUMAYO,-75.9,-9.25
TULUMAYO,-75.8497,-9.32648
JACAS CHICO,-76.5,-9.88333
JACAS CHICO,-76.5,-9.88333
CARPISH,-76.0833,-9.66667
CARPISH,-76.0667,-9.66667
PUENTE TARUCA,-76.1258,-9.84603
HUANUCO,-76.2743,-9.88992
CANCHAN,-76.3097,-9.92111
HUANUCO,-76.2333,-9.93333
PANAO (LOS MOLINOS),-76.05,-9.91667
HUANUCO CAYHUAYNA,-76.248,-9.96101
AMBO (IDMA),-76.1667,-10.1333
SAN RAFAEL,-76.1769,-10.33
CHACAYAN,-76.4333,-10.45
HUARIACA,-76.1833,-10.4333
CHAPRIN,-76.1407,-10.4971
YANAHUANCA,-76.5139,-10.4906
YANAHUANCA,-76.5167,-10.4833
GOYLLARISQUISGA,-76.4,-10.4667
ATACOCHA,-76.1983,-10.5667
MILPO,-76.1946,-10.6
PARIAMARCA,-76.183,-10.6482
CHIQUICOCHA,-76.15,-10.6333
HACIENDA CARMEN CHICO,-76.2,-10.6333
CASARACRA,-75.95,-11.45
CASARACRA,-75.95,-11.45
MALPASO,-76.0333,-11.4
PUNABAMBA,-76.0742,-11.4466
TINGO DE HUALPA,-75.9006,-11.4229
