,MILLOC,LA PIRHUA,TAMBORAQUE,BELLAVISTA,RIO BLANCO,SAN JOSE DE PARAC,CASAPALCA,TICLIO
1/02/1995,140.1578522,96.33261871,56.43513489,75.79019928,76.3730011,66.51085663,75.79019928,100.5876007
1/03/1995,243.1697083,147.179718,83.86936188,126.1924744,91.55046844,111.5198288,126.1924744,127.0090637
1/04/1995,102.3941269,50.67181778,26.65706062,64.23395538,30.66123772,36.08668137,64.23395538,95.88887787
1/05/1995,44.0229454,21.60587502,5.185658932,25.79772758,7.555051804,2.824495316,25.79772758,25.88601875
1/06/1995,4.202568531,2.506438255,1.042592525,5.083413601,2.082414865,0.682157993,5.083413601,4.471967697
1/07/1995,3.5386765,1.551974058,0.641127944,3.192387342,1.13921392,0.896472454,3.192387342,6.242386341
1/08/1995,11.52852249,4.460161209,0.948408484,7.286935806,1.790708899,1.364554763,7.286935806,5.630821228
1/09/1995,42.58726501,28.7080822,11.53636837,35.26201248,21.8284893,11.10286617,35.26201248,36.02714157
1/10/1995,75.38017273,51.18213654,18.16872597,59.13259506,36.52214432,27.95389366,59.13259506,76.13331604
1/11/1995,76.42185211,71.17733002,49.30286407,74.89974213,76.02191162,61.39216995,74.89974213,71.68524933
1/12/1995,140.7330017,89.63808441,57.38640594,107.403656,88.86706543,91.45135498,107.403656,122.3576508
1/01/1996,139.4152679,141.7412262,93.78972626,135.1617737,111.2393951,133.0001068,135.1617737,87.23151398
1/02/1996,149.3932495,165.3141785,110.1520538,172.9976654,143.1548309,155.8890228,172.9976654,173.8041992
1/03/1996,114.2740631,110.4900513,88.03694153,139.8447418,98.49753571,125.1118317,139.8447418,153.515274
1/04/1996,59.90676117,37.03727722,22.71000481,66.8820343,34.61185074,47.41180038,66.8820343,89.77616119
1/05/1996,26.51049423,12.18820953,3.329612494,17.13217926,5.307004452,3.292593002,17.13217926,23.308424
1/06/1996,3.072728634,1.79968226,0.796121776,2.683041811,1.496367216,0.517013609,2.683041811,3.081772089
1/07/1996,0.486410528,0.256461054,0.09361133,1.698928833,0.682696462,0.475730121,1.698928833,3.316154957
1/08/1996,8.832846642,3.531853914,1.207141638,7.51841259,2.40888238,2.16407299,7.51841259,9.978878021
1/09/1996,30.9227562,13.79285431,5.461292744,19.67339897,11.81063175,5.387234211,19.67339897,25.89079475
1/10/1996,49.47966003,30.11639595,8.404788971,39.53358078,26.02615356,16.36199951,39.53358078,62.28985596
1/11/1996,43.58173752,27.95611763,15.59979153,32.16669846,40.24425888,26.51732826,32.16669846,52.17058182
1/12/1996,86.42113495,53.93611526,35.64051819,80.09994507,68.5967865,49.79000092,80.09994507,88.59079742
1/01/1997,135.2403717,111.7757568,73.58046722,113.9535599,93.18363953,110.2722473,113.9535599,88.27244568
1/02/1997,190.7694855,161.0907593,94.1734848,166.1893768,134.4953156,121.3360748,166.1893768,182.2764893
1/03/1997,54.10434341,41.72471619,30.99453163,46.19197845,38.07636261,34.58718109,46.19197845,46.97937012
1/04/1997,36.35602951,22.26585007,10.58306885,30.09493637,15.84859943,14.85398579,30.09493637,32.34967422
1/05/1997,16.09657288,5.561226368,1.423408508,9.587143898,2.820326567,1.76697886,9.587143898,14.00605297
1/06/1997,0.410853505,0.39972949,0.453730255,1.232954979,1.064480901,0.40451318,1.232954979,2.756532907
1/07/1997,4.75297308,1.939249635,0.339360088,3.375474215,0.544418991,0.195599049,3.375474215,4.722121716
1/08/1997,27.94630241,8.967315674,1.654154181,18.39423752,5.378810883,5.294174671,18.39423752,17.49863434
1/09/1997,52.82538223,29.07096672,9.269854546,43.63542175,24.79773903,12.67133427,43.63542175,49.9269371
1/10/1997,48.55760956,36.68063736,13.78468704,45.70618057,29.15440941,22.25226784,45.70618057,72.86735535
1/11/1997,81.53330231,62.86187363,34.45434952,77.9413681,65.56567383,47.11292648,77.9413681,82.80938721
1/12/1997,183.5059204,120.4873123,70.25618744,170.4105225,116.9377289,113.0294495,170.4105225,154.9173737
1/01/1998,183.8763275,178.8353577,106.5233383,184.5927124,107.5916367,138.4147491,184.5927124,111.6609573
1/02/1998,134.6545715,153.8328552,119.2967072,156.2771606,138.165741,138.4269867,156.2771606,158.6084137
1/03/1998,146.4317322,158.7901154,135.6280365,168.7705078,108.1837769,132.3188324,168.7705078,117.6720123
1/04/1998,45.68992996,30.89493752,23.2494297,41.9349823,26.26488113,31.55545235,41.9349823,46.90695953
1/05/1998,0.518924236,0.520596564,0.358685702,1.236389041,0.67797488,0.454295903,1.236389041,2.386529922
1/06/1998,2.291872025,1.892446518,1.131155372,5.573908806,4.055038929,1.915661097,5.573908806,7.311328411
1/07/1998,0.271281093,0.066579573,0.05680332,0.479535639,0.350271344,0.460979432,0.479535639,1.023448706
1/08/1998,13.92935276,5.414754391,1.073584557,8.309559822,1.484768867,1.028582215,8.309559822,4.984516621
1/09/1998,46.48106003,21.25812721,8.249310493,31.81826019,25.50100136,15.47426987,31.81826019,29.08275032
1/10/1998,72.26325226,36.65379715,8.816626549,59.01243973,34.02511215,22.28572464,59.01243973,117.5459061
1/11/1998,57.70781326,37.10239029,15.18895626,42.59786987,39.94707489,18.96520996,42.59786987,65.1335907
1/12/1998,45.80220795,39.64376068,43.21741104,62.67080688,66.78549957,59.65813446,62.67080688,69.5266037
1/01/1999,135.8769684,116.2798615,80.13640594,122.6652603,96.07736969,113.6755753,122.6652603,106.4395142
1/02/1999,263.8288269,231.7029572,139.996994,250.8077698,180.3112335,225.0072174,250.8077698,267.5052185
1/03/1999,120.538887,122.4026566,100.223877,133.9174652,99.62365723,102.5288315,133.9174652,127.8184814
1/04/1999,86.25640869,58.24887085,34.47120285,86.02977753,47.29842377,54.81869125,86.02977753,90.44380951
1/05/1999,53.91662979,29.79450798,7.306880474,51.01103592,19.35973167,14.17560196,51.01103592,33.82089615
1/06/1999,5.521004677,3.904219866,2.038438797,8.234116554,4.448563099,1.581328511,8.234116554,9.916418076
1/07/1999,7.048246861,2.211691141,0.41717425,4.542066574,0.878820717,0.502693117,4.542066574,9.976946831
